Key	Value
[NAME]掳走了几个凡人。不幸的是，此事走漏了风声，竟然被一伙正派人士知晓，竟然一路追索，找上门来。	[NAME] ได้จับวิญญาณมาแล้วจำนวนหนึ่ง น่าเสียดายที่ดูเหมือนว่าแมวออกจากถุงนี้ ยิ่งไปกว่านั้นยังมีคนดีๆมากมายที่รู้จักและพวกเขาจะไม่ยอมแพ้
[SCHOOL]的弟子见到[NAME]，想起自家门派遭遇。虽有万般不满，但依然一脸笑容的上来拜见。	สาวกของ [SCHOOL] ได้เห็น [NAME] และนึกถึงสิ่งที่เกิดขึ้นกับสำนักของพวกเขา แม้ว่าพวกเขาจะไม่พอใจ แต่พวกเขาก็ยิ้มและทักทายสมาชิกสำนักของเรา
[SCHOOL]的弟子见到[NAME]连忙上来拜见，[NAME]心情不错，顺手指点了这些晚辈一些修为上的事。分别时，[SCHOOL]的弟子恭敬的邀请你来他们门派做客。	เหล่าสาวกของ [SCHOOL] เห็น [NAME] และรีบขึ้นไปทักทาย [ENHIM] [NAME] อารมณ์ดีและให้คำแนะนำแก่ผู้ที่มีประสบการณ์น้อย เมื่อออกเดินทางเหล่าสาวกของ [SCHOOL] ได้กราบบังคมทูลเชิญ [NAME] ไปเยี่ยมโรงเรียนของพวกเขา
[NAME]和[SCHOOL]的弟子热情的交谈，双方一起到附近有名的酒楼畅饮一番。临分别时，[SCHOOL]的弟子硬是送了你一些当地特产的礼物，并邀请你有空再来[SCHOOL]转转。	การสนทนาอย่างกระตือรือร้นระหว่าง [NAME] และสาวกของ [SCHOOL] ทำให้พวกเขาไปที่ร้านอาหารชื่อดังที่อยู่ใกล้ ๆ เพื่อจิบเครื่องดื่ม ในขณะที่พวกเขาเตรียมพร้อมที่จะแยกทางกันสาวกของ [SCHOOL] ได้ส่ง [NAME] ไปพร้อมกับอาหารพิเศษในท้องถิ่นและยินดีให้ [ENHIM] กลับมาที่ [SCHOOL] ได้ทุกเมื่อ
[NAME]和[SCHOOL]的弟子打了声招呼，大家在路边聊了聊修行界最近发生的趣事，并约好下次互相拜访。	[NAME] ได้รับการต้อนรับจากสาวกของ [SCHOOL] และพวกเขาก็คุยกันริมถนนเกี่ยวกับกิจกรรมล่าสุดที่เกิดขึ้นและพวกเขายังนัดเวลาที่จะไปเยี่ยมครั้งต่อไป
[NAME]对[SCHOOL]的弟子点头示意，对方看了[NAME]一眼，也点了点头。	[NAME] พยักหน้าให้สาวกของ [SCHOOL] พวกเขามองไปที่ [NAME] และพยักหน้ากลับ
[SCHOOL]的弟子很愤怒，并放出狠话让[NAME]和他的宗门最近小心点。	เหล่าสาวกของ [SCHOOL] ต่างโกรธแค้นพวกเขาปล่อยคำพูดที่รุนแรงซึ่งทำให้ [NAME] และผู้ใกล้ชิดดูแลพวกเขาเมื่อไม่นานมานี้
[SCHOOL]的弟子很诧异的看了[NAME]一眼，不知道为何他会说出这无礼的言论。	เหล่าสาวกของ [SCHOOL] มองไปที่ [NAME] ด้วยความประหลาดใจและงงว่าทำไม [ENHIM] ถึงพูดหยาบคายเช่นนี้
[SCHOOL]的弟子冷笑两声，掏出法宝向[NAME]发起了攻击。[NAME]考虑身处敌人门派所在地，不欲恋战，施了个手法脱身而去。	สาวกของ [SCHOOL] เยาะเย้ยและหยิบสิ่งที่ดูเหมือนจะเป็นสิ่งประดิษฐ์ออกมาจากนั้นก็โจมตี [NAME] [NAME] ตระหนักว่า [IT] อยู่ในฝ่ายศัตรู เมื่อ [IT] ไม่กระตือรือร้นที่จะต่อสู้ [IT] จึงเล่นกลอุบายและหลบหนี
[SCHOOL]的弟子勃然大怒，掏出法宝准备动手，但似乎顾忌什么，最终留下狠话悻悻离开。	เหล่าสาวกของ [SCHOOL] ต่างพากันลุกลี้ลุกลนและหยิบสิ่งประดิษฐ์ของพวกเขาออกมาเตรียมให้พร้อม ดูเหมือนพวกเขาจะมีความวิตกกังวลบางอย่างและในที่สุดพวกเขาก็จากไปในขณะที่พูดคำไม่สุภาพ
[NAME]忙于赶路，匆匆离去了。	[NAME] กระตือรือร้นที่จะเดินทางและรีบออกทาง [ITS]
[SCHOOL]的弟子上来跟[NAME]打了个招呼，却见[NAME]神色冷漠的匆匆离去，心中略有不满。	เหล่าสาวกของ [SCHOOL] เดินขึ้นไปทักทาย [NAME] แม้ว่าเมื่อเห็นสีหน้าเย็นชาของ [NAME] และ [ITS] รีบออกไป แต่พวกเขาก็รู้สึกไม่พอใจ
[SCHOOL]的弟子勃然大怒，祭出法宝斩向[NAME]。[NAME]以一对多，不慌不忙，施展出师门所传的剑法对敌。一时间天空剑气纵横。	เหล่าสาวกของ [SCHOOL] ต่างพากันลุกลี้ลุกลนหยิบวัตถุโบราณของตนออกมาและเหวี่ยงไปที่ [NAME] [NAME] ได้รับหนึ่งมากเกินไปแม้ว่าจะไม่เร่งรีบและแสดงให้พวกเขาเห็นฝีมือดาบ [ITS] มีดาบสำหรับร่ายมนต์
[NAME]技高一筹，瞅准一个破绽，将对方领头的弟子一剑枭首，对方溃败，作鸟兽散。	ความสามารถของ [NAME] เหนือกว่าคนอื่น ๆ [IT] พบข้อบกพร่องและดูแลหัวหน้าของพวกเขาได้ในการกวาดนิ้วเพียงครั้งเดียว ไม่มีผู้นำส่วนที่เหลือหนีไป
[SCHOOL]的弟子勃然大怒，祭出法宝斩向[NAME]。[NAME]也祭出法宝对敌，双方战作一团。	เหล่าสาวกของ [SCHOOL] ต่างพากันลุกลี้ลุกลนหยิบวัตถุโบราณของตนออกมาและเหวี่ยงไปที่ [NAME] [NAME] ทำลายสิ่งประดิษฐ์และทั้งสองฝ่ายต่อสู้กัน
双方斗了几个回合，[NAME]感觉灵气不继，一时疏忽被对方破了法术。[NAME]慌乱中夺路逃窜，虽然中了对方两招，但顺利逃脱了性命。	พวกเขาต่อสู้กันหลายรอบ [NAME] รู้สึกถึงการสูญเสียพลัง Qi ของพวกเขาและในช่วงเวลาแห่งความประมาทคาถา [ITS] ก็พังทลาย [NAME] หลบหนีด้วยความสับสนแม้ว่าศัตรูจะโจมตี [ENHIM] สองครั้ง แต่ [IT] ก็สามารถหลบหนีได้โดยที่ [ITS] พลังชีวิตเหมือนเดิม
[SCHOOL]的弟子勃然大怒，挥手放出七八道阴森森的剑光向[NAME]杀来。[NAME]以一对多，不慌不忙，施展出师门所传的剑法对敌。一时间天空剑气纵横。	เหล่าสาวกของ [SCHOOL] บินเข้ามาอย่างโกรธเกรี้ยวมีดาบวูบวาบราวกับว่ามีป่าของพวกเขาทุกคนมาเพื่อฆ่า [NAME] [NAME] ได้รับหนึ่งมากเกินไปแม้ว่าจะไม่เร่งรีบและแสดงให้พวกเขาเห็นฝีมือดาบ [ITS] มีดาบสำหรับร่ายมนต์
[SCHOOL]的弟子勃然大怒，挥手放出七八道阴森森的剑光向[NAME]杀来。[NAME]也祭出法宝对敌，双方战作一团。	เหล่าสาวกของ [SCHOOL] บินเข้ามาอย่างโกรธเกรี้ยวมีดาบวูบวาบราวกับว่ามีป่าของพวกเขาทุกคนมาเพื่อฆ่า [NAME] [NAME] ทำลายสิ่งประดิษฐ์และทั้งสองฝ่ายต่อสู้กัน
[SCHOOL]的弟子恨恨的看了看你，但摄于你的修为，并没有做什么过激的事。	เหล่าสาวกของ [SCHOOL] ตา [NAME] อย่างขมขื่น แต่พวกเขาก็ตกตะลึงกับความสามารถของ [ITS] และไม่ดำเนินการใด ๆ
[NAME]选择无视对面，可[SCHOOL]的几名弟子却冷笑一声，祭出法宝向[NAME]发动了猛烈的攻击。	[NAME] เลือกที่จะเพิกเฉยต่ออีกฝ่าย แต่สาวกของ [SCHOOL] บางคนก็เยาะเย้ยหยิบสิ่งประดิษฐ์ของตนออกมาและเริ่มโจมตี [NAME] อย่างดุร้าย
[SCHOOL]的弟子看到[NAME]大怒，喊了一声魔头受死便结成阵势向[NAME]杀来。	เหล่าสาวกของ [SCHOOL] เห็น [NAME] และโกรธมากตะโกนและรวมตัวกันเพื่อตามหาหัวของ [NAME]
[NAME]狞笑一声，运起真力，一道匹练似的剑光纵横飞斩，转眼间就破了敌人的攻势，对面几人被一剑一个当了[NAME]的剑下亡魂。。	รอยยิ้มที่น่ากลัวปรากฏขึ้นบนใบหน้าของ [NAME] พร้อมกับพลังที่แท้จริงและจังหวะที่วาบหวิวทำให้ศัตรูถูกจับในพริบตาเมื่อสมาชิกหลายคนของฝ่ายตรงข้ามไปพบผู้สร้างของพวกเขาที่ [ มือของ NAME]
[NAME]选择无视对面，可[SCHOOL]的几名弟子却相视一眼，大喊一声魔头受死，就祭出法宝向[NAME]发动了猛烈的攻击。	[NAME] เลือกที่จะเพิกเฉยต่อฝ่ายตรงข้าม แต่สาวกบางคนของ [SCHOOL] เหลือบมองอีกฝ่ายตะโกนดึงสิ่งประดิษฐ์ของพวกเขาและเริ่มโจมตี [NAME] อย่างดุร้าย
[SCHOOL]的长老见到[NAME]，只得按照规矩行礼拜见，而后离去。	ผู้อาวุโสของ [SCHOOL] เห็น [NAME] และทักทายพวกเขาอย่างไม่เต็มใจ
[NAME]上前同[SCHOOL]的长老打了声招呼，两人结伴同游[SCHOOL]附近的几处胜地，品风论道，畅谈许久。临分别时，[SCHOOL]的这名长老送你一个自己炼制的小法宝作为纪念。	[NAME] ก้าวไปข้างหน้าและทักทายผู้อาวุโสของ [SCHOOL] ทั้งสองเดินทางไปด้วยกันเพื่อไปยังจุดชมวิวรอบ ๆ [SCHOOL] และสนทนากันอย่างยาวนาน เมื่อถึงเวลาแยกทางผู้อาวุโสของ [SCHOOL] ได้นำเสนอ [ENHIM] พร้อมกับสิ่งประดิษฐ์ที่เขาได้สร้างขึ้นเองใน [ITS] เป็นของที่ระลึก
[NAME]上前恭敬的拜见了[SCHOOL]的长老，长老很开心的同[NAME]聊了两句，并指点了他几句修行法诀。	[NAME] ก้าวไปข้างหน้าและทักทายผู้อาวุโสของ [SCHOOL] ด้วยความเคารพ ผู้อาวุโสรู้สึกดีใจมากที่ได้มีเวลาสนทนากับ [NAME] และได้รับคำแนะนำบางอย่างเกี่ยวกับการสร้างตัวละคร
[NAME]和[SCHOOL]的长老打了声招呼，大家聊了两句，[SCHOOL]的长老说有事在身，匆匆离去了。	[NAME] และผู้อาวุโสของ [SCHOOL] กล่าวสวัสดีทุกคนก็แชทกันอย่างสนุกสนาน ผู้อาวุโสกล่าวว่า [HE] มีเรื่องที่ต้องเข้าร่วมและรีบเร่ง
[NAME]向这名[SCHOOL]的长老打了个招呼，对方看了[NAME]一眼，微不可察的点了点头。	[NAME] ทักทายผู้อาวุโสของ [SCHOOL] ผู้อาวุโสมอง [NAME] และพยักหน้ารับทราบ
[NAME]笑嘻嘻的同[SCHOOL]的长老打了个招呼，暗中却发出了致命的一击，重创了对方。	[NAME] ทักทายผู้อาวุโสของ [SCHOOL] ด้วยรอยยิ้มและสร้างความหวาดกลัวให้กับฝ่ายตรงข้าม
[SCHOOL]的长老不敢置信的看着[NAME]，奋起反击，但最终还是被[NAME]接二连三的狠招夺去了性命。	ผู้อาวุโสของ [SCHOOL] มองไปที่ [NAME] ด้วยความไม่เชื่อก่อนจะโต้กลับ ในที่สุด [ITS] ชีวิตก็ถูก [NAME] พรากชีวิตไปหลายครั้ง
[NAME]笑嘻嘻的同[SCHOOL]的长老打了个招呼，暗中却发出了致命的一击，[SCHOOL]的长老在最后关头察觉到了这次偷袭，险之又险的躲过了这招并发起凌厉的反击。	[NAME] ทักทายผู้อาวุโสของ [SCHOOL] ด้วยรอยยิ้มและโจมตีอย่างรุนแรง แต่ผู้อาวุโสก็สามารถสัมผัสได้ถึงการโจมตีที่น่าประหลาดใจในช่วงสุดท้าย [HE] รอดมาได้อย่างหวุดหวิดจากนั้นตีกลับด้วยการโจมตีของ [ITS] เอง
[NAME]偷袭失败，心神一乱，被长老的绝招命中。最后使尽浑身解数，侥幸脱身。	การลอบโจมตีของ [NAME] ล้มเหลว [IT] ถูกจับไม่ได้และถูกโจมตีด้วยทักษะเฉพาะตัวของผู้อาวุโส ในท้ายที่สุด [IT] ก็พยายามทุกวิถีทางที่ [IT] ทำได้และสามารถหนีออกมาได้ด้วยชีวิต [ITS] ราวกับโชคช่วย
[SCHOOL]的长老不敢置信的看着[NAME]，刚准备逃生，就被[NAME]接二连三的狠招夺去了性命。	ผู้อาวุโสของ [SCHOOL] มองไปที่ [NAME] ด้วยความไม่เชื่อและเตรียมที่จะหนี แต่ในที่สุด [ITS] ชีวิตก็ถูก [NAME] พรากชีวิตไปหลายครั้ง
[NAME]见面不多说，先下手为强，一记狠手向[SCHOOL]的长老身上招呼，直接重创了对方。	[NAME] เป็นคำพูดสั้น ๆ ข้อได้เปรียบจะอยู่ที่ผู้ที่โจมตีก่อนดังนั้น [IT] จึงทักทายผู้อาวุโสของ [SCHOOL] ด้วยหมัดที่โหดเหี้ยมที่พุ่งเข้าใส่เขาราวกับก้อนอิฐจำนวนมาก
[SCHOOL]的长老猝不及防，慌忙刚准备逃生，就被[NAME]接二连三的狠招夺去了性命。	ผู้อาวุโสของ [SCHOOL] ถูกจับไม่ได้ [HE] กำลังรีบเตรียมการที่จะหนีเมื่อ [NAME] ใช้ชีวิต [ITS] อย่างชุลมุน
[NAME]见面不多说，先下手为强，一记狠手向[SCHOOL]的长老身上招呼，[SCHOOL]的长老临危不乱，险之又险的躲过了这招并发起凌厉的反击。	[NAME] เป็นคำพูดสั้น ๆ ข้อได้เปรียบจะอยู่ที่ผู้ที่โจมตีก่อน [IT] จึงทักทายผู้อาวุโสของ [SCHOOL] ด้วยการชูกำปั้น แต่ผู้อาวุโสก็สงบและนิ่งเมื่อเผชิญกับอันตรายดังนั้น [ HE] สามารถหลบหนีได้อย่างหวุดหวิดจากนั้นก็ตีกลับด้วยการโจมตีของ [ITS] เอง
[SCHOOL]的长老看[NAME]装作没看到自己，对你的无礼略感不满。	ผู้อาวุโสของ [SCHOOL] เห็น [NAME] แสร้งทำเป็นไม่สังเกตเห็นเขารู้สึกว่ามันหยาบคายและไม่พอใจผลที่ตามมา
[SCHOOL]的长老怒极反笑，他出手就是[SCHOOL]的镇派绝招，狠狠攻向[NAME]。[NAME]狞笑一声，祭出自己的法宝迎敌。一时间空中两道流光如惊龙横空斗作一团。	ผู้อาวุโสของ [SCHOOL] เดือดดาลด้วยความโกรธและเริ่มการโจมตีที่โหดร้ายของ [SCHOOL] ใน [NAME] [NAME] ทำหน้าตาบูดบึ้งและนำสิ่งประดิษฐ์ [ITS] มาต่อสู้กับศัตรู ช่วงเวลาหนึ่งการต่อสู้เป็นเหมือนพายุดาบ
两人瞬息间已过手数十招，[NAME]看重一个破绽，拼着自己受伤一招打碎了[SCHOOL]的长老的天灵盖，[SCHOOL]的长老死状惨烈，神形俱灭。	ในพริบตาอาวุธของพวกเขาได้ปะทะกันหลายสิบครั้ง [NAME] มองหาช่องเปิดและรับไว้ในขณะที่ [IT] ได้รับบาดเจ็บจับผู้อาวุโสของ [SCHOOL] ด้วยการปัดที่หัว มันเป็นจุดจบที่น่าเศร้า
[SCHOOL]的长老怒极反笑，他出手就是[SCHOOL]的镇派绝招，狠狠攻向[NAME]。[NAME]狞笑一声，祭出自己的法宝迎敌。但却错估了对方杀招的威力，竟然被瞬间破去了法宝。	ผู้อาวุโสของ [SCHOOL] เดือดดาลด้วยความโกรธและเริ่มการโจมตีที่โหดร้ายของ [SCHOOL] ใน [NAME] [NAME] ทำหน้าตาบูดบึ้งและนำสิ่งประดิษฐ์ [ITS] มาต่อสู้กับศัตรู [IT] ประเมินศักยภาพของศัตรูต่ำไปและอาวุธ [ITS] ก็พังในพริบตา
[NAME]大惊失色，已经失了先机，虽然拼命逃走，但却被[SCHOOL]的长老打中致命的一击。	[NAME] หน้าซีดด้วยความตกใจเพราะสูญเสียความได้เปรียบ แม้ว่า [IT] จะหลบหนีอย่างสิ้นหวัง แต่ผู้อาวุโสของ [SCHOOL] ก็โจมตีอย่างรุนแรง
法术轰击	การโจมตีด้วยเวทมนต์
[SCHOOL]的长老皱了皱眉，一副不想惹事的样子转身离去。暗中却向[NAME]使出[SCHOOL]的绝杀秘术，想不费吹灰之力夺取[NAME]性命。	ผู้อาวุโสของ [SCHOOL] ขมวดคิ้วหันและจากไปด้วยท่าทางเหมือน [HE] ไม่ต้องการสร้างความวุ่นวาย อย่างไรก็ตาม [HE] ใช้เทคนิคที่ชั่วร้ายของ [SCHOOL] อย่างรอบคอบเพื่อพยายามเอาชีวิต [NAME] โดยไม่มีปัญหาใด ๆ
[NAME]早已察觉，也故作中招，趁敌人大喜回身之际发出运起全身功力的一击。只一道惊龙般的神光如神矢贯月，瞬间将毫无防备的[SCHOOL]的长老打成飞灰。	[NAME] สัมผัสได้แล้วแสร้งทำเป็นได้รับบาดเจ็บและโจมตีด้วยกำลัง [ITS] ทั้งหมดในขณะที่หันหลังให้ศัตรูด้วยการเฉลิมฉลอง ในชั่วพริบตา [IT] ก็พุ่งเข้าใส่ผู้อาวุโสที่ไม่ระวังตัวของ [SCHOOL]
[NAME]大惊失色，已经失了先机，虽然拼命逃走，但却被[SCHOOL]的长老的致命的一击打中了心脏。	[NAME] หน้าซีดด้วยความตกใจเพราะสูญเสียความได้เปรียบ แม้ว่า [IT] จะหลบหนีอย่างสิ้นหวัง แต่ผู้อาวุโสของ [SCHOOL] ก็จัดการกับหัวใจของ [ITS] อย่างรุนแรง
[SCHOOL]的长老皮笑肉不笑的看了你一样，似乎想动手，但最终掉转方向离去。	ผู้อาวุโสของ [SCHOOL] มองไปที่ [NAME] ด้วยรอยยิ้มแสยะราวกับว่าต้องการจะเคลื่อนไหว แต่ในที่สุด [HE] ก็หันหลังและจากไป
[NAME]选择无视对面，可[SCHOOL]的长老却不准备放过他，他目露凶光，挥手就拦住[NAME]的去路，并发动了猛烈的攻击。	[NAME] เลือกที่จะเพิกเฉยต่อฝ่ายตรงข้าม แต่ผู้อาวุโสของ [SCHOOL] ไม่พร้อมที่จะปล่อย [ENHIM] ไป ด้วยความเชื่อมั่นในสายตาของ [ITS] [HE] จึงขยับตัวเพื่อตัดการหลบหนีของ [NAME] และฟาดฟันด้วยการโจมตีที่โหดร้าย
双方斗了几个回合，[NAME]感觉灵气不继，一时疏忽被对方破了法术。[SCHOOL]的长老招招夺命，[NAME]拼尽全力才逃脱了[SCHOOL]的长老的追杀。	พวกเขาต่อสู้กันหลายรอบ [NAME] รู้สึกถึงการสูญเสียพลัง Qi ของพวกเขาและในช่วงเวลาแห่งความประมาทคาถา [ITS] ก็พังทลาย ผู้อาวุโสของ [SCHOOL] ทำทุกอย่างที่ [HE] ทำได้เพื่อให้มันจบลงตรงนั้น [NAME] ทำ [IT] ทุกวิถีทางเพื่อหยุดยั้งผู้อาวุโสแห่งการไล่ตามของ [SCHOOL]
[SCHOOL]的长老看到[NAME]神色不忿，但是想了想[NAME]在修行界的凶威还是啐了一口，扭头离去。	ผู้อาวุโสของ [SCHOOL] สามารถบอกได้จากการมองใบหน้าของ [NAME] ว่า [IT] ไม่ได้กำลังจะยอมแพ้ [HE] คิดถึงชื่อเสียงของ [NAME] ในฐานะที่มีพลังที่ดุร้ายถ่มน้ำลายหันหลังกลับ และจากไป
[SCHOOL]的长老大喝一声歪门邪道，人人得而诛之，挥手祭出随身法宝，对[NAME]发起凌厉的攻势。	ผู้อาวุโสของ [SCHOOL] ตำหนิวิธีการคดโกงของ [NAME] ดึงอาวุธ [ITS] และเริ่มโจมตี [ENHIM]
