Key	Value
影响制药速度，治疗外门伤的疗效等	ส่งผลต่อความเร็วในการทำยาและประสิทธิภาพในการรักษาบาดแผลทางร่างกาย
影响制作物品速度，制作物品品质等。	ส่งผลต่อความเร็วและคุณภาพเมื่อสร้างไอเท็ม
春	ฤดูใบไม้ผลิ
夏	ฤดูร้อน
秋	ฤดูใบไม้ร่วง
冬	ฤดูหนาว
思	ซือ
长孙	จางซุน
山	ฉาน
闻人	เหวินเหริน
玉	ยู
隋	ซุย
文烟	เหวินหยาน
[color=#9e6404]相关工作：[/color]\n移除地板\n拆除建筑\n修理建筑\n移动和安装建筑\n建造建筑\n搬运建筑原料	[color=#9e6404]งานที่เกี่ยวข้อง:[/color]\nการรื้อถอนพื้น\nการรื้อถอนสิ่งก่อสร้าง\nการซ่อมแซมสิ่งก่อสร้าง\nการย้ายและการสร้างสิ่งก่อสร้าง\nการสร้างสิ่งก่อสร้าง\nการขนวัสดุก่อสร้าง
[color=#9e6404]相关工作：[/color]\n搬人上床\n照顾病人	[color=#9e6404]งานที่เกี่ยวข้อง:[/color]\nการย้ายคนขึ้นเตียง\nการดูแลผู้ป่วย
[color=#9e6404]相关工作：[/color]\n祭祀\n搬人上床\n搬运燃料\n埋葬\n搬运角色\n挑水\n搬运物品\n搬运生产原料\n打扫地面	[color=#9e6404]งานที่เกี่ยวข้อง:[/color]\nพิธีกรรม\nการย้ายผู้คนไปที่เตียง\nการขนเชื้อเพลิง\nการฝังศพผู้คน\nการขนส่งตัวละคร\nการขนน้ำ\nการขนย้ายสิ่งของ\nการขนส่งวัตถุดิบ\nการกวาดพื้น
[color=#9e6404]相关工作：[/color]\n扫地	[color=#9e6404]งานที่เกี่ยวข้อง:[/color]\nการกวาดพื้น
[color=#9e6404]相关工作：[/color]\n烹饪\n搬运烹饪原料	[color=#9e6404]งานที่เกี่ยวข้อง:[/color]\nการทำอาหาร\nการขนส่งวัตถุดิบทำอาหาร
[color=#9e6404]相关工作：[/color]\n劈柴\n搬运劈柴原料\n砍伐树木\n割除植物	[color=#9e6404]งานที่เกี่ยวข้อง:[/color]\nการสับฟืน\nการเก็บฟืน\nการตัดต้นไม้\nการเก็บเกี่ยวพืช
[color=#9e6404]相关工作：[/color]\n切石\n搬运切石原料\n手工制造\n搬运手工原料	[color=#9e6404]งานที่เกี่ยวข้อง:[/color]\nตัดหิน\nขนย้ายหิน\nงานฝีมือ\nการขนวัตถุดิบงานฝีมือ
[color=#9e6404]相关工作：[/color]\n屠宰\n狩猎\n探索	[color=#9e6404]งานที่เกี่ยวข้อง:[/color]\nการแล่เนื้อ\nการล่าสัตว์\nการสำรวจ
[color=#9e6404]相关工作：[/color]\n开采矿石	[color=#9e6404]งานที่เกี่ยวข้อง:[/color]\nการทำเหมือง
[color=#9e6404]相关工作：[/color]\n灭火	[color=#9e6404]งานที่เกี่ยวข้อง:[/color]\nการดับไฟ
[color=#9e6404]相关工作：[/color]\n收获植物\n种植植物	[color=#9e6404]งานที่เกี่ยวข้อง:[/color]\nการเก็บเกี่ยว\nการทำฟาร์ม
[color=#9e6404]相关工作：[/color]\n上床休养	[color=#9e6404]งานที่เกี่ยวข้อง:[/color]\nพักผ่อนบนเตียง
[color=#9e6404]相关工作：[/color]\n制作衣物\n搬运衣物原材料	[color=#9e6404]งานที่เกี่ยวข้อง:[/color]\nการตัดเย็บเสื้อผ้า\nการขนส่งวัตถุดิบสำหรับเสื้อผ้า
[color=#9e6404]相关工作：[/color]\n锻造物品\n搬运锻造原料	[color=#9e6404]งานที่เกี่ยวข้อง:[/color]\nการหลอมไอเท็ม\nการขนส่งวัถุดิบการหลอมปลอม
[color=#9e6404]相关工作：[/color]\n治疗普通疾病\n制药	[color=#9e6404]งานที่เกี่ยวข้อง:[/color]\nรักษาโรคธรรมดา\nการทำยา
筑工	กรรมกร
照顾	ผู้ดูแล
苦力	คนรับใช้
膳夫	พ่อครัว
木客	คนตัดไม้
猎户	นายพราน
石工	คนงานเหมือง
救灾	นักผจญเพลิง
农人	ชาวนา
休养	คนไข้
衣匠	ช่างตัดเสื้อ
铁匠	ช่างตีเหล็ก
郎中	หมอ
筑基	การฝึกพื้นฐาน
木材	ไม้
木料	ไม้แปรรูป
石头	หิน
石块	บล็อกหิน
金属	โลหะ
植物	พืช
植物产物	ผลิตภัณฑ์จากพืช
食物原料	ส่วนผสม
肉类	เนื้อ
皮毛	ขน
布	ผ้า
骨骼	กระดูก
角料	เศษเหลือ
武器	อาวุธ
法宝	ของวิเศษ
奇物	สมบัติที่ไม่จำเป็น
披风	ผ้าคลุม
衣服	เสื้อโค้ท
裤子	กางเกง
食物	อาหาร
药物	ยา
灵丹	ยาเม็ด
符咒	ยันต์
符纸	กระดาษยันต์
工具	เครื่องมือ
金属锭	แท่งโลหะ
秘籍	ตำรา
灵石	หินวิญญาณ
垃圾	ขยะ
其他	อื่น ๆ
珀	อัญมณีวิญญาณ
宝物	สมบัติ
竹子	ไม้ไผ่
正邪未明	ไม่เป็นที่รู้จัก
正道魁首	เฉลิมฉลอง
正道中流	ได้รับเกียรติ
名门正派	ที่เคารพ
亦正亦邪	ขัดแย้ง
邪门歪道	น่าสงสัย
邪道砥柱	ฉาวโฉ่
魔门巨擘	เลว
祖师殿	โถงผู้ก่อตั้ง
坐北朝南	หันหน้าไปทางทิศใต้
炼宝阁	หอสิ่งประดิษย์
坐西朝东	หันหน้าไปทางทิศตะวันออก
卧房	ห้องนอน
炼丹房	ห้องทดลองเล่นแร่แปรธาตุ
厨房	ครัว
坐东朝西	หันหน้าไปทางทิศตะวันตก
仓库	คลัง
坐南朝北	หันหน้าไปทางทิศเหนือ
工坊	โรงงาน
角色对外界的探查与反馈的能力，影响角色的视野，以及需要精细工作的效率等属性。	การรับรู้ (รับรู้): ความสามารถของตัวละครในการสำรวจและรวบรวมข้อมูลข่าวกรองจากโลกภายนอก ส่งผลต่อขอบเขตการมองเห็นของตัวละครและประสิทธิภาพในการทำงาน
角色身体的强度，影响角色的寿命，抗寒抗热，以及与体力相关的效率等属性。	ความอึด (อึด): ความแข็งแกร่งของร่างกายของตัวละคร มีผลต่ออายุขัยของตัวละครความต้านทานความเย็นและความร้อนและประสิทธิภาพเมื่อต้องใช้แรงงาน
角色获取他人好感的能力，包括外在容貌与内在气质，影响角色的社交能力。	ความมีสเน่ห์(สเน่ห์): ความสามารถของตัวละครในการได้รับความโปรดปรานจากผู้อื่นรวมถึงรูปลักษณ์และนิสัยของพวกเขา ส่งผลต่อความสามารถทางสังคมของตัวละคร
角色思考的能力，影响角色的学习速度等属性。	ความฉลาด (ปัญญา): ความสามารถของตัวละครในการคิด มีผลต่อความเร็วในการเรียนรู้
角色受上天眷顾的程度，影响角色概率相关的属性。	โชค (โชค): ชื่นชอบโดยสวรรค์ ส่งผลต่อค่าต่าง ๆ ที่เกี่ยวข้องกับโอกาส
角色在修炼上的潜在能力。潜力与角色的年龄与个人经历有关，一旦进入内门就会锁定，无法被改变。	ศักยภาพ (ศักยภาพ): ศักยภาพในการฝึกฝนของตัวละคร ศักยภาพมีความเกี่ยวข้องกับอายุและภูมิหลังของตัวละคร เมื่อตัวละครกลายเป็นศิษย์ในแล้วสิ่งนี้จะถูกล็อคและไม่สามารถเปลี่ยนแปลงได้อีก
灵气	ฉี
历练值	ทักษะ
领悟值	ความเข้าใจ
修为	ประสบการณ์
寿元	อายุขัย
任意	(1)ทุกอย่าง
皮肉	สด
器官	อวัยวะ
(吃饭)	(กิน)
(练功)	(ฝึก)
(睡觉)	(นอน)
无	ไม่มี
练气期	Zhuji
结丹期	Jiedan
金丹期	Jindan
元神期	Yuanying
在世真仙	Chengxian
苦行境	สถานะนักพรต
传道境	สถานะผู้แสวงบุญ
神国境	สถานะศักดิ์สิทธิ์
圆满境	สถานะความสำเร็จ
在世神灵	กึ่งเทพ
淬体期	ช่วง หลอมร่างใหม่
洗髓期	ช่วงล้างไขกระดูก
脱胎期	ช่วงฟักตัว
混元期	ช่วงโกลาหล
不朽金身	ร่างอมตะ
练习御物	ฝึกฝนความเชี่ยวชาญของวิเศษ
练习功法	ฝึกกฎ
炼制法宝	ปรับแต่งของวิเศษ
练习术法	ฝึกคาถา
进行调心	ใจ
练习护体	ฝึกการป้องกัน
炼制丹药	ทำยาอายุวัฒณะ
男人	ชาย
女人	หญิง
修炼	การฝึกตน
过往	อดีต
美景	ทิวทัศน์
动物	สัตว์
功法	กฎ
厨艺	ทำอาหาร
农事	การเกษตร
玄学	อภิธรรม
邪教	สำนักชั่วร้าย
正派	สำนักคุณธรรม
秘密	ความลับ
天气	สภาพอากาศ
门派	สำนัก
昨天	เมื่อวานนี้
爱好	งานอดิเรก
猫	แมว
狗	หมา
早饭	อาหารเช้า
金	โลหะ
木	ไม้
水	น้ำ
火	ไฟ
土	โลก
混元	ไฮบริด
心境崩溃	จิตตก
心境不稳	ไม่เสถียร
心境中正	นิ่ง
心境圆润	สุขุม
心境通明	สงบ
心境无暇	บริสุทธิ์
弟子	ศิษย์
精英	ชั้นยอด
长老	ผู้เฒ่า
\n温度不适	\nอุณหภูมิที่ไม่เหมาะสม
\n灵气不适	\nพลังชี่ไม่เหมาะสม
\n肥沃不适	\nภาวะเจริญพันธุ์ที่ไม่เหมาะสม
\n季节不适	\nฤดูกาลที่ไม่เหมาะสม
\n五行不适	\nธาตุที่ไม่เหมาะสม
\n灵气不足	\nพลังชี่ไม่เพียงพอ
无滤镜	ไม่มีตัวกรอง
岁月	ปี
铭记	ความทรงจำ
幽冥	อเวจี
水墨	ภาพวาดน้ำหมึก
人间	โลกมนุษย์
红尘	อาณาจักรมนุษย์
缥缈	มีหมอก
古卷	คัมภีร์โบราณ
日升	พระอาทิตย์ขึ้น
夏意	ฤดูร้อน
妙趣	ไหวพริบ
[{0}](禁止)	[{0}](ห้าม)
(热爱)	(หลงใหล)
(着迷)	(หมกมุ่น)
[{8}]{6}\n能力评分:{0:N0}/{1:N0}({9:N0}%)\n\t等级:{2}/{11}({5})\n\t经验:{3}{4}\n{7}\n\n{10}	[{8}]{6}\nระดับความสามารถ: {0:N0}/{1:N0} ({9:N0}%)\n\tLevel: {2}/{11} ({5})\n\tXP: {3}{4}\n{7}\n\n{10}
{0:F0}秒	{0:F0} วินาที
{0:F0}天	{0:F0} วัน
({0:F1}天)	({0:F1}วัน)
{0}的{1}	(1){0}เป็นของ{1}
采集或者历练	รวบรวมหรือผจญภัย
水上建筑	สิ่งก่อสร้างบนน้ำ
<font color=#B65704>可选主材料(或):\n</font>	<font color=#B65704> วัสดุหลักที่มีให้ (หรือ):\n</font>
[color=#FF0000](无库存)[/color]\n[color=#604343]来源：{0}[/color]	[color=#FF0000](ไม่มีของในคลัง)[/color]\n[color=#604343]ที่มา:{0}[/color]
<font color=#B65704>必须材料:\n</font>	<font color=#B65704>วัสดุที่ต้องการ:\n</font>
神乎其技	ทักษะมหัศจรรย์
大师	อาจารย์
精通	มีประสบการณ์
入门	มือใหม่
外行	สมัครเล่น
她的	เธอ
他的	ของเขา
她	เธอ
他	เขา
天苍{0}年第{1}天	วันที่ {1} ปี {0} ของยุคเทียนกัง
它的	มัน
它	มัน
大吉	มงคลมาก
吉	มงคล
小吉	เป็นมงคลเล็กน้อย
小凶	เป็นลางไม่ดีเล็กน้อย
凶	ลางร้าย
大凶	เป็นลางร้ายมาก
仙家洞天	ได้รับพร
修行宝地	ได้รับการฝึกฝน
灵秀之地	ฤกษ์ดี
冲煞之所	ลางร้าย
逆运之局	มุ่งร้าย
九幽绝地	ลำบาก
山寨	ป้อม
洞天	ที่พำนักบนสวรรค์
精品	ประณีต
优秀	ยอดเยี่ยม
一般	ธรรมดา
糟糕	แย่
无品质	ไม่กำหนดคุณภาพ
华丽	งดงาม
精美	สวย
普通	ธรรมดา
丑陋	น่าเกลียด
圣物	ของตกทอดศักดิ์สิทธิ์
神物	ของตกทอดเทพ
灵物	วิญญาณ
凡物	สามัญ
土壤肥沃	ดินอุดม
土壤丰饶	ดินที่อุดมสมบูรณ์
土壤良质	ดินที่ดี
土壤贫瘠	ดินแย่
宛如仙境	ดินแดนมหัศจรรย์
景色绝美	น่าประทับใจ
景观优美	สวย
景观不错	ดี
环境平常	ปกติ
环境脏乱	สกปรก
环境恶劣	น่ากลัว
极热	ร้อนฉ่า
炎热	ร้อน
温度适宜	ปานกลาง
寒冷	เย็น
极寒	แช่แข็ง
刺眼	วูบวาบ
晃眼	สว่าง
光线适宜	แสงแดด
昏暗	สลัว
漆黑	มืด
卓越	ผู้เชี่ยวชาญ
擅长	มีฝีมือ
中庸	ปานกลาง
勉强	สมัครเล่น
不擅	เซ่อ
巨大	ใหญ่มาก
大	ใหญ่
中	ปานกลาง
小	เล็ก
拥挤	เต็ม
恰当	ปกติ
空旷	ว่างเปล่า
豪华	หรูหรา
精致	ดูดี
简陋	งั้น ๆ 
美轮美奂	งดงาม
满目凋敝	พินาศ
极度危险	ถึงตาย
致命绝境	มฤตยู
危机四伏	วิกฤต
暗藏波澜	อันตราย
略有风险	เสี่ยง
任人宰割	จุดอ่อน
不为人知	ไร้ชื่อ
籍籍无名	ไม่เป็นที่รู้จัก
素门凡流	ไม่ค่อยมีใครจำได้
略有耳闻	ธรรมดา
小有名气	เริ่มมีชื่อ
初见江湖	มีชื่ื่อ
名声渐传	ได้รับการยอมรับ
广为人知	เป็นที่รู้จักดี
大名鼎鼎	มีชื่อเสียงมาก
闻名遐迩	เด่น
名扬天下	ชื่อเสียง
声震寰宇	โดดเด่น
百年流传	สะเทือนใจ
名震千古	เฉลิมฉลอง
旷古绝今	ไม่เคยมีมาก่อน
万载留名	ไร้เทียมทาน
非常满意	น่าพอใจ
还算不错	เพียงพอ
平淡乏味	เฉยๆ
非常糟糕	แย่มาก
灵性澎湃	พรเยอะ
灵性充沛	พรปานกลาง
灵性隐隐	พรเล็กน้อย
煞性隐隐	คำสาปเล็กน้อย
煞性凝练	คำสาปปานกลาง
煞性凌冽	คำสาปเยอะ
自身生长速度很慢，对周边环境产生极大的正面增益。	อัตราการเติบโตที่ช้ามาก ส่งผลบวกที่สำคัญต่อสิ่งแวดล้อมโดยรอบ
自身生长速度较慢，对周边环境产生较大的正面增益。	อัตราการเติบโตช้า ส่งผลบวกปานกลางต่อสภาพแวดล้อมโดยรอบ
自身生长速度略慢，对周边环境产生略微的正面增益。	อัตราการเติบโตค่อนข้างช้า ส่งผลบวกเล็กน้อยต่อสภาพแวดล้อมโดยรอบ
自身生长速度略快，对周边环境产生略微的负面影响。	อัตราการเติบโตค่อนข้างเร็ว ส่งผลเสียเล็กน้อยต่อสภาพแวดล้อมโดยรอบ
自身生长速度较快，对周边环境产生较大的负面影响。	อัตราการเติบโตที่รวดเร็ว ส่งผลเสียปานกลางต่อสภาพแวดล้อมโดยรอบ
自身生长速度很快，对周边环境产生极大的负面影响。	อัตราการเติบโตที่รวดเร็วมาก ส่งผลเสียที่สำคัญต่อสิ่งแวดล้อมโดยรอบ
空	ว่างเปล่า
鼎炉潜力尚未开发，炼精化气效率极高。	ศักยภาพภายในหม้อต้มที่ยังไม่ได้รับการพัฒนา ประสิทธิภาพการแปลงพลังงานสูงมาก
始	เบาบาง
鼎炉潜力开发伊始，炼精化气效率较高。	เพิ่งพัฒนาศักยภาพภายในหม้อ ประสิทธิภาพการแปลงพลังงานสูง
鼎炉潜力开发泰半，炼精化气效率正常。	ศักยภาพภายในหม้อต้มที่พัฒนาแล้วครึ่งหนึ่ง ประสิทธิภาพการแปลงพลังงานปรกติ
盈	เต็ม
鼎炉潜力几尽枯竭，炼精化气效率较慢。	หม้อต้มภายในที่มีศักยภาพใกล้หมด ประสิทธิภาพการแปลงพลังงานต่ำ
满	ระเบิด
鼎炉潜力开发至极限，需结丹以突破鼎炉之限。	ศักยภาพภายในหม้อที่พัฒนาขึ้นอย่างมาก ประสิทธิภาพการแปลงพลังงานช้ามาก
护御	การป้องกัน
修行	การฝึก
仇恨	เกลียดชัง
敌视	ศัตรู
冷淡	ไม่แยแส
友好	เพื่อน
尊敬	เคารพ
影响值是处理代理点事务的资源。主要用于建设重要建筑比如奇观和主殿，以及各种政策的消耗。主殿每日会产出影响值，在某些事件中使用处世手段也可以获得。	อิทธิพลเป็นทรัพยากร ที่ใช้ในการจัดการธุรกิจของหน่วยงานใด ๆ ตัวอย่างเช่นการสร้างสิ่งมหัศจรรย์และโถงหลักการดำเนินนโยบายและอื่น ๆ อิทธิพลจะถูกผลิตโดยโถงหลักทุกวันหรือได้มาจากทักษะทางสังคมในบางเหตุการณ์
略有灵韵	วิญญาณอ่อน
灵韵天生	วิญญาณทั่วไป
灵韵澎湃	วิญญาณที่แข็งแกร่ง
任意大小的	ขนาดใดก็ได้
极小的	ขนาดเล็ก
狭小的	แคบ
大小适中的	ขนาดกลาง
宽大的	ใหญ่
极大的	ใหญ่มาก
极小	ขนาดเล็ก
狭小	แคบ
适中	ปานกลาง
宽大	ใหญ่
极大	ใหญ่มาก
金属性	ธาตุโลหะ
木属性	ธาตุไม้
水属性	ธาตุน้ำ
火属性	ธาตุไฟ
土属性	ธาตุดิน
混元属性	ธาตุไฮบริด
极其利于	เป็นประโยชน์อย่างยิ่ง
特别利于	เป็นประโยชน์มาก
较为利于	เป็นประโยชน์พอสมควร
稍微利于	เป็นประโยชน์เล็กน้อย
位于墙角	และที่มุม
三面为墙	และกระแทกกับสามกำแพง
贴墙而放	และกระแทกกับกำแพง
不贴墙	และไม่สัมผัสกำแพงใด ๆ
位于门旁	และพบอยู่ติดกับประตู
位于床第蒲团之侧	และพบอยู่ติดกับเบาะหรือเตียง
位于祖师牌位之侧	และพบอยู่ติดกับศาลปรมาจารย์
位于工坊台案之侧	และพบอยู่ถัดจากโต๊ะงาน
位于炼宝台之侧	และพบอยู่ถัดจากโต๊ะประดิษย์
位于炼丹炉之侧	และพบอยู่ถัดจากเตาเล่นแร่แปรธาตุ
位于炉灶之侧	และพบอยู่ถัดจากเตา
远离床第蒲团	และห่างจากเบาะหรือเตียง
远离祖师牌位	และห่างจากศาลศาลปรมาจารย์
远离工坊台案	และอยู่ห่างจากโต๊ะงาน
远离炼宝台	และอยู่ห่างจากโต๊ะประดิษย์
远离炼丹炉	และอยู่ห่างจากเตาเล่นแร่แปรธาตุ
远离炉灶	และห่างจากเตา
你的情感依然很丰富，依然会被喜怒哀乐所动。这些凡人的情感让你对神力的掌握倍加艰难，但也正因如此，就算是很平凡很微小的信仰你都能感受并收取。	คุณยังคงมีอารมณ์ของมนุษย์อยู่ เช่นความสุขความโกรธและความเศร้าโศก อารมณ์ของมนุษย์เหล่านี้ทำให้คุณควบคุมพลังจากสวรรค์ได้ยาก แต่ในขณะเดียวกันคุณก็รู้สึกและซึมซับความเชื่อของมนุษย์ได้แม้เพียงเล็กน้อย
你对凡人的情感逐渐收敛，已经很少会有极端的狂喜或悲恸。得益于此，你对神力的掌握渐渐加深，但来自众生的那些平凡微小的信仰你已无法尽数感知。	คุณมีอารมณ์ของมนุษย์น้อยลงและแทบจะไม่รู้สึกถึงความสุขหรือความเศร้าโศก คุณปรับตัวให้เข้ากับพลังจากสวรรค์มากขึ้น แต่ไม่สามารถรับรู้ถึงความเชื่อของมนุษย์ได้อีกต่อไป
凡人的喜怒哀乐对你的影响越来越少，而你对神力的运用也渐入佳境。但逐渐失去凡人心态的你也越发难以吸收那些平凡而普通的信仰。	อารมณ์ของมนุษย์ส่งผลกระทบต่อคุณน้อยลงเรื่อย ๆ และคุณจะเริ่มเชี่ยวชาญในพลังจากสวรรค์ แต่การสูญเสียความเป็นมนุษย์ของคุณทำให้คุณเข้าใจความเชื่อของมนุษย์น้อยลง
你的情感已经十分淡漠，很少有什么事可以让你动容。你对神力的运用越发自如，但来自诸多平凡信众的信仰对你而言已近乎尘砾。	คุณรู้สึกเฉยเมยต่อผู้คนและเรื่องทางโลกมาก คุณสอดคล้องกับพลังจากสวรรค์มากขึ้น และความเชื่อของคนธรรมดาแทบจะไม่เป็นประโยชน์อะไรกับคุณ
你几乎没有了人类的情感，众生在你眼中皆无不同。你对神力的运用已达巅峰，但绝大部分普通的信仰对你已经毫无意义。	คุณสูญเสียอารมณ์ของมนุษย์ไปเกือบทั้งหมดและไม่เห็นความแตกต่างระหว่างสิ่งมีชีวิตใด ๆ คุณเชี่ยวชาญในพลังจากสวรรค์ขั้นสูงสุด แต่ในขณะเดียวกันความเชื่อของมนุษย์ก็ไร้ความหมายในสายตาของคุณ
杀戮	ฆ่า
杀死{0}({1:N0})个生灵	ฆ่า {0} ({1:N0}) สิ่งมีชีวิต
被杀戮之念萦绕，修行速度，学习速度，心境大幅下降。角色在此状态下战斗时专注杀戮而战法激进，因此御器技能突破极限2级，术法技能突破极限2级，护体技能降低5级。	ถูกหลอกหลอนโดยเจตนาฆ่า ประสิทธิภาพในการฝึก,ความเร็วในการเรียนรู้และสถานะจิตลดลงอย่างมาก ในสถานะนี้ตัวละครจะมุ่งเน้นไปที่การฆ่า ทำให้เพิ่มทักษะการต่อสู้ของพวกเขา เพิ่มทักษะความเชี่ยวชาญของวิเศษและเวทมนต์ 2 ระดับ และลดระดับการป้องกัน 5 ระดับ
自弃	ยอมแพ้
失败累积{0}({1:N0})次（炼丹，炼器，突破，战斗中倒地）	ล้มเหลว {0} ({1:N0}) ครั้ง ค่านี้รวมถึงความล้มเหลวในการเล่นแร่แปรธาตุการสร้างของวิเศษและก้าวข้ามขีดจำกัดหรือการล้มลงในระหว่างการต่อสู้
被自弃之念萦绕，修行速度，学习速度，心境大幅下降。角色在此状态下战斗时自暴自弃而奋不顾死，因此御器技能突破极限2级，术法技能突破极限2级，护体技能降低5级。	พร้อมที่จะยอมแพ้. ประสิทธิภาพในการฝึก,ความเร็วในการเรียนรู้และสถานะจิตลดลงอย่างมาก  ในสถานะนี้ตัวละครหมดหวังจึงยอมเสี่ยงทุกอย่างที่มี เพิ่มทักษะความเชี่ยวชาญของวิเศษและเวทมนต์ 2 ระดับ และลดระดับการป้องกัน 5 ระดับ
贪婪	โลภ
食用12阶的物品累积{0}({1:N0})次	กินอาหารระดับ 12 มาแล้ว {0} ({1:N0}) ครั้ง
被贪婪之念萦绕，修行速度，学习速度，心境大幅下降。角色在此状态下战斗时不舍珍宝而倍加惜命，因此御器技能，术法技能降低2级，护体技能突破极限3级。	ขับเคลื่อนด้วยความโลภ ประสิทธิภาพในการฝึก,ความเร็วในการเรียนรู้และสถานะจิตลดลงอย่างมาก ในสถานะนี้ตัวละครจะให้ความสำคัญกับสมบัติของพวกเขามากเกินไปจนเสี่ยงที่จะตาย ลดทักษะความเชี่ยวชาญของวิเศษและเวทมนต์ 2 ระดับ และเพิ่มระดับการป้องกัน 3 ระดับ
享乐	สำราญ
情绪高于150累计{0}({1:N0})秒	อารมณ์สูงกว่า 150 เป็นเวลา {0} ({1:N0}) วินาที
